id,no,name,latitude,longitude,bearing
4161,F01546,Hangár utca,47.461699,19.167024,120
4162,F01586,Újhegyi út,47.464675,19.159085,120
4163,F01796,Gyógyszergyár,47.472428,19.138434,120
4164,F03015,Közvágóhíd tér,47.572273,19.124436,120
4165,F03501,Nyomdász utca,47.465099,19.309083,120
4166,F03835,Kemény Zsigmond utca,47.445377,19.173006,120
4167,F03944,Wesselényi utca,47.460558,19.154375,120
4168,F03948,Kispest Kossuth tér,47.458139,19.143163,120
4169,8101,Rózsavölgy felső,47.441102,19.022349,121
4170,9376,Újpalota Nyírpalota út,47.547013,19.142015,121
4171,9470,Alkotmány utca,47.433385,19.025919,121
4172,9569,Thököly út,47.441995,19.18098,121
4173,38791,Kőbánya alsó vasútállomás,47.483103,19.128249,121
4174,44554,Deák Ferenc tér M,47.496405,19.057068,121
4175,56169,Cserszömörce utca [4],47.582485,19.025937,121
4176,76395,Aranyvölgy vasútállomás,47.573789,19.01766,121
4177,F00216,Pusztaszeri körönd,47.522682,19.017478,121
4178,F00395,Solymári elágazás,47.5668,18.954915,121
4179,F00708,Gárdonyi Géza utca,47.584234,19.090436,121
4180,F01489,Ecseri út M,47.470404,19.111026,121
4181,F01490,Ecseri út M,47.470494,19.110787,121
4182,F02130,Iglói utca,47.483526,19.039739,121
4183,F02340,Temes utca,47.506663,19.015138,121
4184,F02902,Kassai tér,47.523512,19.097863,121
4185,F03569,Nyomdok utca,47.466573,19.305562,121
4186,F03794,Gyergyó utca,47.42624,19.225566,121
4187,F03808,Szemeretelep vasútállomás,47.443151,19.212205,121
4188,F03905,Árpád utca,47.454248,19.152221,121
4189,F03951,Fő utca,47.456105,19.147875,121
4190,F04030,Villanytelep,47.452454,19.156673,121
4191,8694,Köztelek utca,47.486933,19.067178,122
4192,8772,Pestszentlőrinc vasútállomás,47.454622,19.181767,122
4193,9691,Flórián tér,47.539901,19.042054,122
4194,86875,Kondor Béla sétány,47.438745,19.167224,122
4195,88741,Kispest vasútállomás,47.447904,19.159393,122
4196,F00272,Vöröstorony lépcső,47.530905,18.998032,122
4197,F00416,Széher út 16.,47.521805,18.984949,122
4198,F00758,Nádor utca,47.575003,19.098084,122
4199,F00934,Nyugati pályaudvar M,47.509914,19.056354,122
4200,F01723,Gyömrői út 156.,47.460265,19.170482,122
4201,F02116,Alsóhegy utca,47.482702,19.030463,122
4202,F02118,Alsóhegy utca,47.482679,19.030252,122
4203,F02125,Szüret utca,47.480341,19.035772,122
4204,F02126,Szüret utca,47.480283,19.036129,122
4205,F02361,György Aladár utca,47.51152,18.989403,122
4206,F03019,Géza fejedelem tér,47.568337,19.118105,122
4207,F03213,Csömöri út (Szlovák út),47.534589,19.182048,122
4208,F03391,Alsómalom utca,47.524579,19.205111,122
4209,F03708,Thököly út,47.442726,19.17951,122
4210,F03735,Lajosmizsei sorompó,47.451499,19.158673,122
4211,F03737,Lajosmizsei sorompó,47.450994,19.160104,122
4212,F03738,Tinódi utca,47.449287,19.163953,122
4213,F03739,Tinódi utca,47.449542,19.163509,122
4214,F03744,Csillag utca,47.457252,19.1622,122
4215,F03748,Lakatos úti lakótelep,47.452082,19.174343,122
4216,F03754,Margó Tivadar utca,47.447267,19.168683,122
4217,F03768,Baross utca,47.444511,19.175285,122
4218,F03770,Baross utca,47.444075,19.176167,122
4219,F03792,Béke tér,47.429257,19.217504,122
4220,F03833,Kemény Zsigmond utca,47.445783,19.172318,122
4221,F03891,Karton utca,47.434327,19.160918,122
4222,F03899,Corvin körút,47.462079,19.13412,122
4223,F03901,Nyáry Pál utca,47.461665,19.134835,122
4224,F03903,Árpád utca,47.454554,19.151731,122
4225,F03931,Lehel utca,47.459475,19.140256,122
4226,F03933,Lehel utca,47.459499,19.140009,122
4227,F03953,Fő utca,47.456321,19.14761,122
4228,F04781,13-as kilométerkő,47.567101,18.909322,122
4229,7890,Mester utca / Ferenc körút,47.481671,19.068782,123
4230,86876,Fiatalság utca,47.437131,19.171052,123
4231,86885,Nagyvárad tér M,47.478347,19.090724,123
4232,F00270,Móricz Zsigmond Gimnázium,47.525522,19.00931,123
4233,F00377,Szirom utca,47.557682,18.940706,123
4234,F00762,Leiningen Károly utca,47.57295,19.102375,123
4235,F01924,Neszmélyi út,47.460127,19.015088,123
4236,F02349,Pető Intézet,47.512084,19.003502,123
4237,F03143,Késmárk utca 11.,47.530129,19.148166,123
4238,F03215,Baross utca,47.53632,19.17836,123
4239,F03295,Állás utca,47.529388,19.194076,123
4240,F03378,Felsőmalom utca,47.525968,19.201941,123
4241,F03404,EGIS Gyógyszergyár,47.496377,19.225878,123
4242,F03522,Baross utca,47.462996,19.239562,123
4243,F03709,Thököly út,47.442776,19.179174,123
4244,F03743,Hőerőmű,47.455951,19.165135,123
4245,F03755,Margó Tivadar utca,47.44791,19.167324,123
4246,F03774,Mikszáth Kálmán utca,47.450802,19.177337,123
4247,F03842,Tinódi utca,47.453832,19.170156,123
4248,F03947,Kossuth tér,47.457501,19.144841,123
4249,F04028,Villanytelep,47.452517,19.156289,123
4250,F04489,Mátyás király utca,47.404272,18.99068,123
4251,9139,Dedics Ferenc utca,47.469097,19.226094,124
4252,9359,Boráros tér H,47.479729,19.066486,124
4253,64214,Selyemakác utca,47.543064,18.996307,124
4254,69428,Mátray utca,47.506092,19.028928,124
4255,F00166,Budagyöngye,47.516649,18.997979,124
4256,F00289,Vasas sportpálya,47.511464,19.008896,124
4257,F00293,Bimbó köz,47.521779,19.005569,124
4258,F00531,Ürömhegyi út,47.577738,19.010013,124
4259,F00562,Királylaki út,47.5488,19.015098,124
4260,F00733,Művelődési Központ,47.579639,19.109041,124
4261,F01907,Vasút utca,47.445931,18.976362,124
4262,F02253,Pető Intézet (Villányi út),47.481659,19.032915,124
4263,F03218,Timur utca,47.531487,19.189132,124
4264,F03531,Lőrinci út,47.469467,19.237012,124
4265,F03909,Alvinc utca,47.437654,19.140655,124
4266,F04006,Bocskai utca,47.458764,19.158709,124
4267,F04389,Balatoni út / Dózsa György út,47.419207,18.983495,124
4268,8737,Dániel út,47.512834,18.994743,125
4269,8921,Dél-pesti autóbuszgarázs,47.426582,19.161021,125
4270,9013,Szilasliget Kemping,47.578226,19.261133,125
4271,F00196,Mechwart liget,47.511236,19.032074,125
4272,F00417,Bölöni György utca / Széher út,47.524096,18.980577,125
4273,F00560,Iskola,47.550195,19.016267,125
4274,F00754,Baross utca / Fóti út,47.577577,19.09281,125
4275,F00946,Deák Ferenc tér M,47.497089,19.05541,125
4276,F01007,Kálvin tér M,47.489074,19.062694,125
4277,F01701,Lavotta utca,47.475218,19.157091,125
4278,F02163,BAH-csomópont,47.486986,19.023046,125
4279,F02483,Rendelőintézet,47.510969,19.005852,125
4280,F02859,Öv utca,47.534217,19.113239,125
4281,F02907,Csáktornya park,47.536523,19.106801,125
4282,F03040,Régi Fóti út,47.562074,19.123199,125
4283,F03146,Újpalota Szentmihályi út,47.541712,19.151097,125
4284,F03348,Péterke utca,47.533227,19.185219,125
4285,F03889,Autópiac,47.432007,19.149792,125
4286,F03911,Kéreg utca,47.439015,19.13802,125
4287,F04378,Rózsavölgy felső,47.441025,19.022882,125
4288,F04485,Barackos út / Angeli utca,47.401715,18.971964,125
4289,F04824,Mészégető,47.558915,18.920635,125
4290,61277,Kelenföld vasútállomás M,47.464634,19.018494,126
4291,F00104,Döbrentei tér,47.491243,19.043612,126
4292,F00534,Királyhelmec utca,47.552823,19.022735,126
4293,F00540,Laborc utca,47.557633,19.015638,126
4294,F00712,Megyeri út / Fóti út,47.579636,19.088653,126
4295,F00768,Irányi Dániel utca,47.577004,19.086655,126
4296,F02812,Komócsy utca,47.52161,19.122439,126
4297,F02945,Kerékgyártó utca,47.532533,19.11677,126
4298,F03578,Rákoscsaba-Újtelep Naplás út,47.498956,19.269208,126
4299,F03892,Csíky utca,47.432307,19.16554,126
4300,F04207,Kölcsey utca,47.416345,19.071606,126
4301,9308,Kálvin tér M,47.488256,19.064419,127
4302,100838,Kőpor köz / Jutas utca [7],47.580892,19.018215,127
4303,F00090,Mikó utca,47.498374,19.028747,127
4304,F00939,Báthory utca / Bajcsy-Zsilinszky út,47.506506,19.055716,127
4305,F02061,Regős utca,47.464942,19.003926,127
4306,F02275,Hó utca,47.486417,18.992156,127
4307,F03047,Rákospalota Széchenyi tér,47.563349,19.120694,127
4308,F03083,Széchenyi út,47.545109,19.112482,127
4309,F03561,Melczer utca,47.465476,19.234145,127
4310,F04200,Völgy utca,47.418694,19.066876,127
4311,8435,Pomáz H,47.642594,19.031459,128
4312,66697,Rés utca,47.480157,19.291817,128
4313,75220,Óbudai autóbuszgarázs,47.567996,19.027538,128
4314,F00123,Pál-völgyi cseppkőbarlang,47.532881,19.016755,128
4315,F00287,Júlia utca,47.514665,19.006491,128
4316,F01911,Repülőgépes Szolgálat,47.448254,18.975278,128
4317,F02059,Kaptárkő utca,47.471841,18.999401,128
4318,F02071,Telekes utca,47.473611,18.996136,128
4319,F02303,Sirály utca,47.48944,19.018201,128
4320,F02590,Béke tér,47.529373,19.081416,128
4321,F02748,Pongrátz Gergely tér,47.509482,19.128993,128
4322,F02794,Egressy tér,47.514317,19.12061,128
4323,F03000,Kanizsai Dorottya utca,47.585599,19.124607,128
4324,F03009,Régi Fóti út,47.572775,19.138485,128
4325,F03032,Sportcentrum,47.574693,19.134966,128
4326,F03041,Cserba Elemér út,47.559441,19.127692,128
4327,F03056,Beller Imre utca,47.561556,19.117498,128
4328,F04206,Bánya utca,47.417407,19.06946,128
4329,F04772,Diósd városháza,47.408767,18.948754,128
4330,9659,Mélyfúró utca,47.57759,19.129699,129
4331,9707,Aranykút utca,47.493794,19.278001,129
4332,56166,Öregbükk utca [3],47.580966,19.030085,129
4333,56189,Ipacsfa utca,47.429484,19.168656,129
4334,F00699,Újpest Fóti út,47.582663,19.082353,129
4335,F01689,Kemence utca,47.475757,19.147607,129
4336,F01692,Noszlopy utca,47.471781,19.148448,129
4337,F01699,Sibrik Miklós út,47.47356,19.160391,129
4338,F02063,Törökugrató utca,47.466614,19.000847,129
4339,F02065,Szent Angyalok-templom,47.468863,18.996592,129
4340,F02337,Barabás Villa,47.504865,19.01879,129
4341,F02461,Széll Kálmán tér M,47.506611,19.02439,129
4342,F02646,Szegedi út,47.528167,19.083593,129
4343,F02736,Egressy út / Stefánia út,47.504525,19.099823,129
4344,F02998,Visonta utca,47.587042,19.121865,129
4345,F03430,Lőrinci út,47.452889,19.220815,129
4346,F03601,Homokiszőlők,47.455603,19.215824,129
4347,F03877,Olt utca,47.429952,19.1988,129
4348,F04238,Festő utca,47.413541,19.0768,129
4349,8344,Királyhágó tér,47.495421,19.018729,130
4350,9468,Galamb utca,47.432711,19.028438,130
4351,11724,Rákoskeresztúr városközpont,47.479373,19.256098,130
4352,64087,Lehel utca,47.352883,19.03849,130
4353,F00080,Dózsa György tér,47.49377,19.038224,130
4354,F00303,Lorántffy Zsuzsanna út,47.512555,19.017444,130
4355,F00585,Óbudai rendelőintézet,47.545467,19.033618,130
4356,F00935,Nyugati pályaudvar M,47.509896,19.056659,130
4357,F01590,Dolomit utca,47.469565,19.169158,130
4358,F01669,Ihász utca,47.484287,19.143855,130
4359,F02074,Szent Pio atya tér,47.474966,18.989051,130
4360,F02244,Torbágy utca,47.467809,18.998644,130
4361,F02325,Esze Tamás iskola,47.507098,18.998267,130
4362,F02450,Normafa Gyermekvasút,47.500157,18.97084,130
4363,F02610,Dózsa György út M,47.523999,19.063752,130
4364,F03114,Damjanich János utca,47.549997,19.120937,130
4365,F03117,Klapka György utca,47.552082,19.122428,130
4366,F03153,Fő tér,47.541599,19.141633,130
4367,F03198,Késmárk utca 9.,47.532273,19.14412,130
4368,F03200,Fázis utca,47.533741,19.141546,130
4369,F03865,Nagyenyed utca,47.427365,19.203167,130
4370,F04252,Pinty utca,47.411376,19.087954,130
4371,F04515,Diósdi utca,47.403332,18.968955,130
4372,F04768,Diósd törökbálinti elágazás,47.410627,18.95731,130
4373,F04833,Tetra Pak,47.457451,18.903852,130
4374,9365,Zsil utca,47.482716,19.062997,131
4375,56163,Mészkő utca [2],47.579402,19.034313,131
4376,73505,Boráros tér H,47.479495,19.066751,131
4377,98882,Budakeszi Tesco áruház,47.499404,18.915098,131
4378,117053,Kispesti temető,47.4426,19.158102,131
4379,F00026,Déli pályaudvar M,47.500801,19.02499,131
4380,F00079,Dózsa György tér,47.49386,19.037494,131
4381,F00153,Garas utca,47.511548,19.019184,131
4382,F00163,Nagyajtai utca,47.513548,19.002642,131
4383,F00304,Ezredes utca,47.51046,19.021043,131
4384,F00533,Üröm vasúti megállóhely,47.581684,19.001794,131
4385,F01618,Jászberényi út / Maglódi út,47.490237,19.148629,131
4386,F01690,Kada utca,47.473933,19.144399,131
4387,F02440,Városkút,47.500114,18.989766,131
4388,F02599,Göncz Árpád városközpont M,47.531454,19.068084,131
4389,F02640,Kassák Lajos utca,47.522199,19.066739,131
4390,F02796,Egressy tér,47.514875,19.119827,131
4391,F02815,Szugló utca / Nagy Lajos király útja,47.517568,19.115104,131
4392,F02968,Tihamér utca,47.50706,19.133051,131
4393,F02971,Jeszenák János utca,47.511733,19.125199,131
4394,F03062,Bezerédj Pál utca,47.556833,19.126292,131
4395,F03124,Bercsényi Miklós utca,47.548178,19.12403,131
4396,F03126,Páskomliget utca,47.548595,19.132453,131
4397,F03131,Pestújhelyi út,47.54418,19.131091,131
4398,F03150,Erdőkerülő utca,47.539636,19.14495,131
4399,F03155,Fő tér,47.541941,19.141235,131
4400,F03160,Vásárcsarnok,47.5452,19.138212,131
4401,F03161,Vásárcsarnok,47.544821,19.139035,131
4402,F03194,Sárfű utca,47.546533,19.135943,131
4403,F03728,Csapó utca,47.441253,19.160442,131
4404,F03863,Tarkő utca,47.425102,19.207017,131
4405,F03869,Szemeretelep vasútállomás,47.443987,19.213043,131
4406,F03995,Ajtósi utca,47.4364,19.150946,131
4407,F04201,Kölcsey utca,47.412023,19.06804,131
4408,F04234,Csille utca,47.406651,19.07722,131
4409,F04258,Királyerdei Művelődési Ház,47.401345,19.094014,131
4410,F04464,Terv utca,47.407749,19.002468,131
4411,F04820,Kövesbérci utca,47.59193,18.984473,131
4412,8323,Károlyi utca,47.43773,18.899544,132
4413,8329,Törökbálint Sportközpont,47.440269,18.895215,132
4414,8548,Gyál Bem József utca,47.372917,19.216769,132
4415,F00103,Döbrentei tér,47.491486,19.043705,132
4416,F00206,Ady Endre utca,47.51664,19.024186,132
4417,F00297,Hankóczy Jenő utca,47.516869,19.008918,132
4418,F01631,Harmat utca,47.488384,19.137877,132
4419,F01665,Kőér utca,47.477608,19.138064,132
4420,F01839,Szlávy utca,47.475743,19.141284,132
4421,F02172,Budaörsi út / Villányi út,47.484134,19.026586,132
4422,F02633,Vágány utca / Róbert Károly körút,47.523869,19.080244,132
4423,F02644,Honvédkórház,47.530044,19.070328,132
4424,F02749,Pongrátz Gergely tér,47.509761,19.128316,132
4425,F03024,Fő út,47.566437,19.122501,132
4426,F03060,Szentmihályi út,47.55917,19.122185,132
4427,F03091,Perczel Mór utca,47.539245,19.111731,132
4428,F03192,Sárfű utca,47.548045,19.133581,132
4429,F03837,Kispesti temető,47.442946,19.157555,132
4430,F03972,Hunyadi tér,47.449265,19.130705,132
4431,F03992,Hofherr Albert utca,47.438464,19.146138,132
4432,F04204,Sporttelep,47.420051,19.073357,132
4433,F04233,Csikó sétány,47.409189,19.072981,132
4434,F04360,Technikus utca,47.414479,19.064079,132
4435,F04483,Németh-villa,47.404797,18.966409,132
4436,F04602,Széchenyi István utca,47.389267,19.21899,132
4437,8550,Toldi Miklós utca,47.377334,19.210016,133
4438,8551,Bacsó Béla utca,47.379533,19.206672,133
4439,9199,Mátyás király utca,47.39471,19.210533,133
4440,9201,Tulipán utca,47.392574,19.213824,133
4441,9205,Dobó Katica utca,47.389747,19.228502,133
4442,64067,Massányi úti lakópark,47.359933,19.028746,133
4443,F00298,Zilah utca,47.515584,19.011535,133
4444,F00321,Szent Ferenc Kórház,47.525983,18.97687,133
4445,F00330,Nyéki út,47.534507,18.97399,133
4446,F00778,Türr István utca / Nádor utca,47.56969,19.09287,133
4447,F01382,Bokréta utca,47.479116,19.072655,133
4448,F02081,Márton Áron tér,47.481887,18.998171,133
4449,F02137,Rezeda utca,47.483256,19.043547,133
4450,F02138,Búsuló Juhász (Citadella),47.485172,19.040614,133
4451,F02403,Tóth Lőrinc utca,47.499657,19.017611,133
4452,F02595,Lehel utca / Róbert Károly körút,47.524895,19.078598,133
4453,F02596,Lehel utca / Róbert Károly körút,47.525797,19.077524,133
4454,F02623,Lehel utca / Dózsa György út,47.520427,19.06966,133
4455,F02643,Honvédkórház,47.530041,19.070699,133
4456,F02698,Kós Károly sétány,47.518741,19.085166,133
4457,F02745,Jeszenák János utca,47.511922,19.124682,133
4458,F02754,Bánki Donát utca,47.506078,19.134443,133
4459,F02774,Füredi utca,47.509498,19.14309,133
4460,F02788,Fogarasi út,47.513092,19.137202,133
4461,F02791,Mogyoródi út,47.517513,19.129947,133
4462,F02814,Szugló utca / Nagy Lajos király útja,47.51736,19.115688,133
4463,F02933,Tihamér utca,47.511588,19.139669,133
4464,F02939,Gödöllői utca,47.515633,19.13307,133
4465,F03089,Rekettye utca,47.541568,19.107856,133
4466,F03107,Bánkút utca,47.546314,19.127441,133
4467,F03177,Kolozsvár utca,47.541985,19.123096,133
4468,F03850,Királyhágó út,47.422592,19.21128,133
4469,F03896,Debrecen utca,47.443238,19.131119,133
4470,F04169,Kiss Ernő utca,47.437614,19.121022,133
4471,F04248,Martinász utca,47.415417,19.079755,133
4472,F04741,Légimentők,47.455351,18.907478,133
4473,7928,Ferihegy vasútállomás,47.437667,19.223377,134
4474,8322,Harangláb,47.431919,18.914048,134
4475,8339,Budaörsi lakótelep,47.455746,18.940232,134
4476,8549,Kisfaludy Sándor utca,47.375008,19.213611,134
4477,8702,Ferencvárosi rendelőintézet,47.477155,19.075785,134
4478,9194,Gyál Ady Endre utca,47.389932,19.217935,134
4479,9206,Táncsics Mihály utca,47.392099,19.224843,134
4480,9715,Zodony utca,47.430331,19.099898,134
4481,F00350,Ady lépcső,47.543425,18.94502,134
4482,F00535,Farkastorki út,47.553803,19.021193,134
4483,F00538,Judit utca,47.556005,19.018282,134
4484,F00542,Jablonka út 58.,47.559044,19.012806,134
4485,F00589,Szőlő utca,47.54348,19.036434,134
4486,F01084,Aradi utca (Oktogon M),47.506227,19.061769,134
4487,F01685,Kada utca,47.477831,19.152307,134
4488,F02368,Lelesz utca,47.509551,18.992915,134
4489,F02701,Ciklámen utca,47.515511,19.089943,134
4490,F02715,Vakok Intézete,47.512424,19.094614,134
4491,F02922,Erzsébet királyné útja aluljáró,47.515745,19.092654,134
